id,term, knowledge area
1,ISC^2 CODE OF ETHICS,LR
2,* PROPERTY,AAA
3,.NET ARCHITECTURE,AAA
4,1995 DIRECTIVE,LR
5,2 SAFETY HYPERPROPERTY,FM
6,2D STEPPER,HS
7,2G NETWORK,PLS
8,3 D SECURE,NS
9,3 DES  TRIPLE DES ,C
10,32 BIT,OSV
11,3G,PLS
12,3G NETWORK,PLS
13,4 LAYER INTERNET PROTOCOL SUITE,NS
14,419 SCAM,AB
15,4CHAN,AB
16,4CHAN'S POLITICALLY INCORRECT BOARD,AB
17,4G  LTE ,PLS
18,4G NETWORK,PLS
19,5G,PLS
20,5G NETWORK,PLS;FM;NS;AC
21,64 BIT,FM;OSV
22,6LOWPAN,CPS
23,802.1X,PLS;NS;CPS
24,A CONTINUOUS MONITORING PROGRAM,SO
25,A MEANS TO MEASURE AND AUDIT OVERALL ASSURANCE SHALL BE BUILT IN,SSL
26,A STARTER SET OF CRYPTO HYGIENE PRACTICES,C
27,A5 1 STREAM CIPHER,AC
28,A5 2 STREAM CIPHER,AC
29,AAMP7G,FM
30,ABAC  ATTRIBUTE BASED ACCESS CONTROL ,AAA
31,ABELIAN GROUP,C
32,ABSENCE OF BUG CLASSES,FMS
33,ABSOLUTE ADDRESSES,HS
34,ABSOLUTE POSITIONING,WAM
35,ABSOLUTE URL,WAM
36,ABSTRACT INTERPRETATION,SS
37,ABSTRACT SYNTAX TREE,MAT
38,ABSTRACTION,FM;SS;INTRO;SSL;F
39,ABUSE,SSL;AB;CPS
40,ABUSE CASE TESTING,SSL
41,ABUSE CASES,SSL
42,ABUSIVE LANGUAGE,AB
43,ACCELEROMETER,PLS;CPS
44,ACCEPT,RMG
45,ACCEPT HEADER,WAM
46,ACCEPT THE RISK,RMG
47,ACCEPTABILITY,RMG;HF
48,ACCEPTABLE INTERRUPTION WINDOW  AIW ,SO
49,ACCEPTABLE RISK,RMG
50,ACCEPTABLE SECURITY,INTRO
51,ACCEPTABLE USE POLICY,LR;HF
52,ACCEPTANCE TESTING,SSL
53,ACCEPTED WAYS FOR HANDLING RISK,RMG
54,ACCESS,AAA
55,ACCESS  CONTROL  AC    LOGICAL,AAA
56,ACCESS   ABAC  ATTRIBUTE BASED ACCESS CONTROL ,AAA
57,ACCESS APPLICATION,AAA
58,ACCESS CONTROL,DSS;CPS;FM;SO;AAA;POR;SS;SSL;PLS;WAM;HS;OSV;INTRO;AC;NS
